model,train_rows,test_rows,train_year_min,train_year_max,test_year_min,test_year_max,rmse_train_log,rmse_test_log,mae_test_log,r2_test_log,mae_test_yen,requested_model
LGBMRegressor,1256345,44267,2005,2023,2024,2024,0.41977340922938094,0.5893942007370162,0.3633909367182908,0.7468537938939707,6732373.566792125,lightgbm
XGBRegressor,1256345,44267,2005,2023,2024,2024,0.41780889605599436,0.5896832583465271,0.36287573816693797,0.7466054311496901,6678818.644441684,xgboost
ExtraTreesRegressor,1256345,44267,2005,2023,2024,2024,0.12113533727174874,0.5946262219100614,0.36829750702994374,0.7423395149367598,6830987.940873382,extra_trees
